qntd_respondente,nome_pais
1,"Congo, Republic of the..."
1,Solomon Islands
1,Mozambique
1,Senegal
1,Oman
1,Kuwait
1,Jamaica
1,Cameroon
1,Iraq
1,Turkmenistan
1,Rwanda
1,Togo
1,Ghana
1,Fiji
1,Namibia
1,Sudan
1,Botswana
1,Swaziland
1,Myanmar
1,Angola
1,Honduras
1,Bahrain
2,Liechtenstein
2,Bolivia
2,Yemen
2,United Republic of Tanzania
2,Mauritius
2,Iceland
2,Montenegro
2,Qatar
2,Afghanistan
2,Maldives
3,El Salvador
3,Guatemala
3,Syrian Arab Republic
3,Republic of Korea
4,Paraguay
4,Malta
4,Nicaragua
4,Kyrgyzstan
4,Zimbabwe
4,Republic of Moldova
4,Ethiopia
4,The former Yugoslav Republic of Macedonia
5,Madagascar
5,Cuba
5,Algeria
5,Andorra
5,Albania
5,Uruguay
5,Panama
5,Mongolia
5,Ecuador
5,Tunisia
5,Bosnia and Herzegovina
5,Armenia
5,Uzbekistan
5,Jordan
6,Uganda
6,Azerbaijan
6,Cambodia
7,Georgia
7,"Venezuela, Bolivarian Republic of..."
8,Cyprus
9,Other Country (Not Listed Above)
10,Luxembourg
11,Costa Rica
11,Dominican Republic
12,Lebanon
12,Kazakhstan
14,Kenya
15,Saudi Arabia
15,Peru
16,Taiwan
17,South Korea
17,Morocco
19,Latvia
21,United Arab Emirates
22,Hong Kong (S.A.R.)
23,Estonia
24,Slovakia
24,Thailand
25,Viet Nam
25,Croatia
28,Malaysia
28,Chile
29,Lithuania
29,Not Specified
30,Nepal
31,Belarus
31,Serbia
31,Slovenia
33,Colombia
33,Egypt
35,Sri Lanka
37,Singapore
39,Japan
39,Hungary
39,Nigeria
40,Philippines
44,Bulgaria
50,Indonesia
52,Argentina
54,Portugal
55,Greece
58,Bangladesh
59,Finland
60,New Zealand
60,Norway
63,Ireland
66,Denmark
71,South Africa
72,Austria
72,Czech Republic
80,Belgium
84,Romania
87,Pakistan
88,Mexico
89,"Iran, Islamic Republic of..."
92,China
98,Turkey
101,Israel
107,Switzerland
109,Ukraine
129,Sweden
166,Italy
193,Netherlands
194,Australia
203,Spain
233,Poland
255,Brazil
270,Russian Federation
278,France
360,Canada
655,Germany
749,United Kingdom
1124,India
2350,United States
